model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
CAFNet,0.3543149197498154,0.1825892716237764,225,0.519296977253805,0.29985344322272234,225,0.47970370370370374,0.2807089789518631,225,0.2276698786898432,0.16546865837730154,225
CAFNet-D full,0.4200219898923012,0.19963449501000538,225,0.6434861133572848,0.3034459779547638,225,0.5531851851851852,0.2934147914794115,225,0.2743700744335362,0.18698649119756497,225
Global popularity,0.428866120019001,0.1986214374780037,225,0.6490852064665685,0.3063024704490552,225,0.5487407407407409,0.29031941297823716,225,0.27280562150174836,0.18330255559250752,225
debias pop0.02 no-res,0.40029483723925824,0.19067318316799384,225,0.6321063662207795,0.2988763260610089,225,0.5357037037037037,0.28367330987812966,225,0.2672661662058176,0.18034175250417858,225
debias pop0.02 residual,0.4013601116947653,0.19036213588829248,225,0.6312962631123292,0.29400303873176264,225,0.5351111111111111,0.28969880363128325,225,0.26506788063174064,0.18446506967345672,225
debias pop0.05 no-res,0.4067982663370972,0.19375084425593805,225,0.6406704892357731,0.30058704360511795,225,0.5404444444444445,0.2900273659775453,225,0.26822238088199607,0.186959620792827,225
debias weighted rb1.5,0.3874091126182507,0.18878123027781973,225,0.6068397510466447,0.31048711210535246,225,0.5294814814814816,0.288958477577088,225,0.26103795286487974,0.18271900376127362,225
debias weighted rb2.0,0.3844445945990947,0.1889258600006455,225,0.6012771397909159,0.30542031179573104,225,0.5205925925925927,0.2878761246427529,225,0.25528557261441553,0.1758259802898579,225
matched-BPR pop0.05 no-res,0.4056143138409411,0.1919391433533133,225,0.6359093391350612,0.2999052896836189,225,0.544,0.2870291174876066,225,0.2713182400875854,0.18360785906097926,225
matched-BPR pop0.05 residual,0.39928147744592934,0.1909596617106979,225,0.6332013780879076,0.3013918134551523,225,0.5386666666666666,0.28828171847404616,225,0.2670537463259254,0.18367113494653378,225
matched-BPR pop0.10 no-res,0.40404635830837005,0.19131221796727962,225,0.6434271410260226,0.30520128560417004,225,0.5454814814814816,0.2886589438951313,225,0.270486526208215,0.18613696349741224,225
