model,AP_mean,nDCG@10_mean,P@15_mean,R@15_mean,matched_AUROC_mean,matched_AUPR_mean,pos_gt_ctrl_rate_mean
CAFNet,0.3543149197498154,0.519296977253805,0.47970370370370374,0.2276698786898432,0.659151793785439,0.6877702281485093,0.6878409732173595
CAFNet-D full,0.4200219898923012,0.6434861133572848,0.5531851851851852,0.2743700744335362,0.6647078832465887,0.7055535514344767,0.7086863352361128
Global popularity,0.428866120019001,0.6490852064665685,0.5487407407407409,0.27280562150174836,0.6265585483926182,0.6880085377497097,0.6570685322628247
debias pop0.02 no-res,0.40029483723925824,0.6321063662207795,0.5357037037037037,0.2672661662058176,0.6298596362150064,0.6835845787427638,0.6731318987379432
debias pop0.02 residual,0.4013601116947653,0.6312962631123292,0.5351111111111111,0.26506788063174064,0.6307109293496749,0.6820749237335302,0.6701818990975776
debias pop0.05 no-res,0.4067982663370972,0.6406704892357731,0.5404444444444445,0.26822238088199607,0.6295854273441084,0.68349579521898,0.6683425078405215
debias weighted rb1.5,0.3874091126182507,0.6068397510466447,0.5294814814814816,0.26103795286487974,0.6297737893746467,0.6786603102467077,0.6705531795883869
debias weighted rb2.0,0.3844445945990947,0.6012771397909159,0.5205925925925927,0.25528557261441553,0.6257256455036178,0.6756952757360437,0.666630737356781
matched-BPR pop0.05 no-res,0.4056143138409411,0.6359093391350612,0.544,0.2713182400875854,0.6316075746925769,0.6851857125942439,0.6743529594480573
matched-BPR pop0.05 residual,0.39928147744592934,0.6332013780879076,0.5386666666666666,0.2670537463259254,0.6324258270280071,0.6842360415769169,0.6682288585786903
matched-BPR pop0.10 no-res,0.40404635830837005,0.6434271410260226,0.5454814814814816,0.270486526208215,0.631463324501372,0.6859489725737473,0.6714346830130221
