model,n_matched_rows,n_external_positive_pairs,external_AUROC,external_AUPR,external_pos_gt_neg_rate,external_mean_pos_minus_neg
CAFNet,58125,11625,0.503727239680888,0.5084483663554318,0.5062365591397849,0.026494605350185947
CAFNet-D full,58125,11625,0.5065894552433807,0.5091549865958107,0.5131182795698924,0.05199286166351609
CAFNet-D-Ext assoc lambda=0.005,58125,11625,0.5210635491733149,0.5180747207906241,0.5417118279569892,0.11845864558510523
CAFNet-D-Ext assoc lambda=0.01,58125,11625,0.5208681305121979,0.5184088753631827,0.5430193548387097,0.1128204974682541
CAFNet-D-Ext assoc lambda=0.02,58125,11625,0.5298189430454388,0.5230504542559827,0.5593118279569892,0.1505291393952324
CAFNet-D-Ext lambda=0.03,58125,11625,0.5382239789108567,0.5283831557086722,0.5735741935483871,0.19962873962451252
CAFNet-D-Ext lambda=0.05,58125,11625,0.5390092475893167,0.5270478711832564,0.5774967741935484,0.1958599529635902
CAFNet-D-Ext lambda=0.10,58125,11625,0.568185419447335,0.5450496690406649,0.6245849462365591,0.31413507878322317
Global popularity,58125,11625,0.5022167738235634,0.5072780020130366,0.40075698924731185,0.002586099561927519
