model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.5034731344199037,0.5060634492372807,0.5057366252837485
CAFNet-D + residual gamma=0.01,0.5046827303822147,0.5079075888593015,0.5124905417145419
CAFNet-D + residual gamma=0.03,0.5119918866262834,0.5156809470482733,0.5261441022335566
CAFNet-D + residual gamma=0.05,0.5192889513881538,0.5235115005196175,0.5393885043297929
CAFNet-D + residual gamma=0.1,0.5374512628733539,0.5430500491848795,0.5711178992797691
CAFNet-D + residual gamma=0.2,0.5730053320728519,0.5801991533338687,0.6255527842389934
CAFNet-D full,0.5018342933527613,0.5053416013962696,0.5055516632570132
Global popularity,0.5022109549844991,0.5055213473160924,0.393352576857327
OFFSIDES residual only,0.8650697917661778,0.8214761871091096,0.8603144354454502
