model,true_frequency_label,n_pairs,mean_rank,median_rank,hit15,hit50,hit100,mean_train_count
A3Net,1,1190,382.7579831932773,298.0,0.041176470588235294,0.13109243697478992,0.2319327731092437,77.14117647058823
A3Net,2,4186,439.3045867176302,412.5,0.018633540372670808,0.06330625895843286,0.13210702341137123,47.41232680363115
A3Net,3,9978,329.3007616756865,237.0,0.052214872719983964,0.16245740629384647,0.2839246341952295,83.89316496291842
A3Net,4,17594,193.87819711265203,78.0,0.16801182221211777,0.39740820734341253,0.5585426850062521,155.7096737524156
A3Net,5,4123,156.1350958040262,49.0,0.2544263885520252,0.5052146495270434,0.6524375454765947,196.34634974533108
CAFNet,1,1190,380.6302521008403,309.0,0.029411764705882353,0.1361344537815126,0.226890756302521,77.14117647058823
CAFNet,2,4186,436.1404682274248,407.0,0.021261347348303872,0.06736741519350214,0.13736263736263737,47.41232680363115
CAFNet,3,9978,339.1216676688715,242.5,0.053016636600521146,0.15965123271196632,0.2770094207255963,83.89316496291842
CAFNet,4,17594,205.34807320677504,81.0,0.16153234057064908,0.3913834261680118,0.5493918381266341,155.7096737524156
CAFNet,5,4123,162.84671355808877,51.0,0.25103080281348533,0.49648314334222654,0.645888915837982,196.34634974533108
