Scenario,Model,Input modality,Folds,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15
warm,A3Net,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.1899 +/- 0.0262,0.9066 +/- 0.0047,0.0756 +/- 0.0088,0.3944 +/- 0.0473,0.1860 +/- 0.0431,0.1081 +/- 0.0084,0.0522 +/- 0.0142,0.3782 +/- 0.0322
warm,CAFNet,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.2061 +/- 0.0169,0.9106 +/- 0.0032,0.0845 +/- 0.0060,0.4250 +/- 0.0221,0.2146 +/- 0.0301,0.1132 +/- 0.0049,0.0640 +/- 0.0112,0.3967 +/- 0.0138
cold,A3Net,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.3326 +/- 0.0289,0.7952 +/- 0.0271,0.2395 +/- 0.0336,0.6969 +/- 0.0539,0.4840 +/- 0.0736,0.4415 +/- 0.0503,0.0185 +/- 0.0049,0.2247 +/- 0.0221
cold,CAFNet,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.3391 +/- 0.0232,0.7960 +/- 0.0145,0.2518 +/- 0.0304,0.7206 +/- 0.0379,0.5067 +/- 0.0836,0.4532 +/- 0.0371,0.0198 +/- 0.0039,0.2305 +/- 0.0189
Warm start,DSGAT,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.1814 +/- 0.0196,0.8660 +/- 0.0044,0.0584 +/- 0.0055,0.4142 +/- 0.0406,0.2399 +/- 0.0721,0.1017 +/- 0.0028,0.0573 +/- 0.0197,0.3344 +/- 0.0125
Cold start,DSGAT,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.3890 +/- 0.0262,0.8220 +/- 0.0195,0.2688 +/- 0.0339,0.8136 +/- 0.0381,0.6827 +/- 0.0640,0.4929 +/- 0.0467,0.0299 +/- 0.0053,0.2526 +/- 0.0275
Warm start,RF,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.0469 +/- 0.0026,0.8364 +/- 0.0021,0.0224 +/- 0.0004,0.1230 +/- 0.0083,0.0350 +/- 0.0036,0.0284 +/- 0.0018,0.0101 +/- 0.0019,0.1120 +/- 0.0103
Warm start,XGBoost,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.0584 +/- 0.0034,0.8197 +/- 0.0033,0.0273 +/- 0.0017,0.1789 +/- 0.0142,0.0378 +/- 0.0083,0.0346 +/- 0.0021,0.0123 +/- 0.0033,0.1277 +/- 0.0059
Cold start,RF,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.1932 +/- 0.0161,0.7548 +/- 0.0235,0.1579 +/- 0.0251,0.6709 +/- 0.0334,0.4613 +/- 0.0519,0.2662 +/- 0.0279,0.0187 +/- 0.0052,0.1308 +/- 0.0146
Cold start,XGBoost,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.1721 +/- 0.0160,0.7438 +/- 0.0242,0.1454 +/- 0.0207,0.6303 +/- 0.0377,0.3053 +/- 0.0546,0.2300 +/- 0.0234,0.0137 +/- 0.0030,0.1203 +/- 0.0212
Warm start,Global popularity,Training frequency matrix only; side-effect global prevalence and mean frequency,10,0.2167 +/- 0.0063,0.8211 +/- 0.0027,0.0507 +/- 0.0020,0.4704 +/- 0.0125,0.3203 +/- 0.0144,0.1126 +/- 0.0020,0.0825 +/- 0.0053,0.3558 +/- 0.0068
Cold start,Global popularity,Training frequency matrix only; side-effect global prevalence and mean frequency,10,0.4094 +/- 0.0260,0.8250 +/- 0.0188,0.2953 +/- 0.0257,0.8315 +/- 0.0374,0.7333 +/- 0.0566,0.5230 +/- 0.0445,0.0313 +/- 0.0065,0.2703 +/- 0.0207
Cold start,HSTrans,SMILES substructure tokens; side-effect substructure tokens; training frequency matrix,10,0.3039 +/- 0.0153,0.7797 +/- 0.0210,0.2054 +/- 0.0207,0.6981 +/- 0.0191,0.4427 +/- 0.0575,0.4106 +/- 0.0259,0.0177 +/- 0.0053,0.2066 +/- 0.0218
