fold,prevalence_group,mean_gate_to_CAFNet_D,std_gate_to_CAFNet_D
0,rare,0.4983626902103424,0.050561390817165375
0,middle,0.5128769874572754,0.05196847766637802
0,frequent,0.5215305685997009,0.04996158927679062
1,rare,0.48465093970298767,0.046387672424316406
1,middle,0.4979957044124603,0.05057448521256447
1,frequent,0.5124709010124207,0.04990861937403679
2,rare,0.48294752836227417,0.04920847713947296
2,middle,0.49634242057800293,0.052147284150123596
2,frequent,0.514802098274231,0.05092136189341545
3,rare,0.4806843101978302,0.04861801862716675
3,middle,0.4946622848510742,0.0514875128865242
3,frequent,0.5085037350654602,0.04948069155216217
4,rare,0.49693411588668823,0.04995045065879822
4,middle,0.5098481774330139,0.051672592759132385
4,frequent,0.5148122906684875,0.05083359405398369
5,rare,0.4768713712692261,0.0568075031042099
5,middle,0.49933260679244995,0.06116360053420067
5,frequent,0.5212619304656982,0.05510181933641434
6,rare,0.4842730164527893,0.04818263277411461
6,middle,0.5011323690414429,0.05120747163891792
6,frequent,0.518420398235321,0.0475366972386837
7,rare,0.4840756356716156,0.04365674406290054
7,middle,0.49759775400161743,0.047536008059978485
7,frequent,0.5152878761291504,0.047420158982276917
8,rare,0.47663673758506775,0.04926186427474022
8,middle,0.4932786524295807,0.05356970429420471
8,frequent,0.5099491477012634,0.052845098078250885
9,rare,0.47736111283302307,0.04710637778043747
9,middle,0.497338205575943,0.052030954509973526
9,frequent,0.5185070037841797,0.04885152727365494
