metric_label,CAFNet,CAFNetV2-sem,CAFNetV2-val-B,CAFNetV2-val-R,DSGAT
AUPR,0.2518 +/- 0.0304,0.2962 +/- 0.0411,0.2734 +/- 0.0321,0.2860 +/- 0.0360,0.2688 +/- 0.0339
AUROC,0.7960 +/- 0.0145,0.8250 +/- 0.0255,0.8035 +/- 0.0262,0.8163 +/- 0.0220,0.8220 +/- 0.0195
MAE,1.3939 +/- 0.0662,1.4894 +/- 0.1867,1.0215 +/- 0.1395,1.3721 +/- 0.2377,1.1433 +/- 0.1114
MAP,0.3391 +/- 0.0232,0.4090 +/- 0.0249,0.3906 +/- 0.0195,0.3954 +/- 0.0249,0.3890 +/- 0.0262
P1,0.5067 +/- 0.0836,0.7333 +/- 0.0566,0.6840 +/- 0.0613,0.6800 +/- 0.0609,0.6827 +/- 0.0640
P10,0.4749 +/- 0.0392,0.5800 +/- 0.0451,0.5389 +/- 0.0334,0.5461 +/- 0.0513,0.5528 +/- 0.0429
P15,0.4532 +/- 0.0371,0.5234 +/- 0.0418,0.5145 +/- 0.0373,0.5089 +/- 0.0462,0.4929 +/- 0.0467
P5,0.5021 +/- 0.0456,0.6464 +/- 0.0426,0.6045 +/- 0.0412,0.6256 +/- 0.0515,0.6224 +/- 0.0374
R1,0.0198 +/- 0.0039,0.0313 +/- 0.0065,0.0296 +/- 0.0056,0.0296 +/- 0.0056,0.0299 +/- 0.0053
R10,0.1671 +/- 0.0172,0.2130 +/- 0.0228,0.1944 +/- 0.0265,0.1988 +/- 0.0306,0.1996 +/- 0.0266
R15,0.2305 +/- 0.0189,0.2706 +/- 0.0236,0.2677 +/- 0.0252,0.2637 +/- 0.0227,0.2526 +/- 0.0275
R5,0.0928 +/- 0.0141,0.1264 +/- 0.0148,0.1169 +/- 0.0199,0.1204 +/- 0.0197,0.1202 +/- 0.0171
RMSE,1.7542 +/- 0.0753,1.7806 +/- 0.1735,1.2473 +/- 0.1395,1.6368 +/- 0.2419,1.4051 +/- 0.0957
drug-AUPR,0.3395 +/- 0.0235,0.4090 +/- 0.0249,0.3907 +/- 0.0195,0.3955 +/- 0.0249,0.3891 +/- 0.0263
drug-AUROC,0.8441 +/- 0.0129,0.8786 +/- 0.0094,0.8707 +/- 0.0106,0.8755 +/- 0.0096,0.8738 +/- 0.0105
nDCG,0.7206 +/- 0.0379,0.8265 +/- 0.0363,0.8013 +/- 0.0272,0.8131 +/- 0.0333,0.8136 +/- 0.0381
spearman,0.3858 +/- 0.0543,0.4060 +/- 0.0678,0.4569 +/- 0.0729,0.4156 +/- 0.0694,0.4378 +/- 0.0623
